,geometry,OBJECTID,CITY,NAME,COUNTY,Equivalent Generation,NP_MW,CF,YearLoadBDT,FUEL,NOTES,Type
0,POINT (-120.2498081960351 37.09924796024649),1,Chowchilla,Ampersand Chowchilla Biomass LLC,Madera,26707.05,12.5,0.629,24036,WDS,0,COMB_pts
1,POINT (-121.1431685361012 41.13292868684972),2,Bieber,Big Valley Power LLC,Lassen,25515.7776,9.3,0.552,22964,WDS,0,COMB_pts
2,POINT (-123.9944031438189 40.87897994934765),3,Blue Lake,Blue Lake Power LLC,Humboldt,37862.1216,13.8,0.552,34076,WDS,0,COMB_pts
3,POINT (-120.9135419559344 38.27775190196613),4,Ione,Buena Vista Biomass Power,Amador,144040.68,22.5,0.088,129637,WDS,0,COMB_pts
4,POINT (-121.7210584831357 40.87896975530748),5,Burney,Burney Forest Products,Shasta,31283.712,31.0,0.772,28155,WDS,logging mill waste,COMB_pts
5,POINT (-121.6380614921079 40.90995874569793),6,Burney,Burney Mountain Power,Shasta,31277.4048,11.4,0.552,28150,WDS,0,COMB_pts
6,POINT (-121.2449356406286 40.30208676048434),7,Chester,Collins Pine Project,Plumas,76727.088,12.0,0.089,69054,WDS,forest thinnings,COMB_pts
7,POINT (-118.1522068328192 33.99458014507507),8,Commerce,Commerce Refuse To Energy,Los Angeles,13623.552,12.0,0.756,12261,MSW,0,COMB_pts
8,POINT (-119.2349775009471 35.71863402693064),9,Delano,Covanta Delano Energy,Kern,156387.024,57.0,0.552,140748,WDS,0,COMB_pts
9,POINT (-120.3674852143528 36.75617600032052),10,Mendota,Covanta Mendota,Fresno,76821.696,28.0,0.552,69140,WDS,0,COMB_pts
10,POINT (-121.1375310244362 37.38948799672009),11,Crows Landing,Covanta Stanislaus Energy,Stanislaus,32923.584,24.0,0.726,29631,MSW,0,COMB_pts
11,POINT (-116.0876832217367 33.58709807883213),12,Mecca,Desert View Power,Riverside,94075.83,55.5,0.685,84668,WDS,urban wood waste orchard tree removal shells,COMB_pts
12,POINT (-119.4220203853982 36.57164195412988),13,Reedley,Dinuba Energy,Tulare,31551.768,11.5,0.552,28397,WDS,0,COMB_pts
13,POINT (-120.4905071479914 37.18721296900321),14,Merced,El Nido Facility,Merced,21582.45,12.5,0.681,19424,WDS,0,COMB_pts
14,POINT (-124.2024491264958 40.80040197238682),15,Samoa,Fairhaven Power,Humboldt,71589.8736,18.8,0.417,64431,WDS,sawmill,COMB_pts
15,POINT (-120.2647547882317 40.36861967376903),16,Wendel,HL Power,Lassen,150977.0232,36.2,0.371,135879,WDS,mill waste forest thinnings logging residue urban wood waste,COMB_pts
16,POINT (-115.5107613776458 32.88514413413655),17,Imperial,Mesquite Lake Energy Park Plant 2,Imperial,57616.272,21.0,0.552,51855,WDS,0,COMB_pts
17,POINT (-115.5107613776458 32.88514413413655),18,Imperial,Mesquite Lake Water & Power Plant 1,Imperial,49659.7392,18.1,0.552,44694,WDS,0,COMB_pts
