,geometry,FID,CBGID,Name,System,OBJECTID,City,State,Type,PrimaryFue,SecFuel,USETYPE,CapSt,CapHW,CapCW,CHPCGCap,ExcessC,ExcessH,TYPE
0,POINT (-117.0733237534483 32.77493974917809),0,758,San Diego State University, ,1,San Diego,CA,DES_CBG_pts,NG, ,College,34.8,0.0,14.0,14.3,0,0,DES_CBG
1,POINT (-122.3090676174888 37.81904412065351),1,1892,East Bay Municipal Water District, ,2,Oakland,CA,DES_CBG_pts, , ,Downtown/Utility,0.0,0.0,0.63,6.0,0,0,DES_CBG
2,POINT (-118.124330427232 34.14299698127638),2,2392,California Institute Of Technology,Cal Tech -Central Utility Plant,3,Pasadena,CA,DES_CBG_pts,NG,Diesel Oil Backup,College,75.0,0.0,6.088,12.56,0,0,DES_CBG
3,POINT (-121.8824543853295 37.33681907231552),3,2860,International Power Technology,San Jose State University,4,San Jose,CA,DES_CBG_pts,NG, ,College,197.475,0.0,14.0,6.0,0,0,DES_CBG
4,POINT (-119.7676946181517 36.83376063854895),4,2946,Saint Agnes Medical Center,Saint Agnes Medical Center,5,Fresno,CA,DES_CBG_pts,NG, ,Healthcare,11.919,0.0,10.5,7.0,0,0,DES_CBG
5,POINT (-117.1857496899207 33.76235968294902),5,3605,Eastern Municipal Water District, ,6,Perris,CA,DES_CBG_pts, , ,Downtown/Utility,0.0,879.0,1.575,5.4,0,0,DES_CBG
6,POINT (-122.3827954092962 37.62160734043144),6,3978,San Francisco International Airport, ,7,San Francisco,CA,DES_CBG_pts,NG, ,Airport,45.0,0.0,63.0,0.0,0,0,DES_CBG
7,POINT (-121.4924678902325 38.58431529833884),7,4727,State of California Franchise Tax Board, ,8,Sacramento,CA,DES_CBG_pts, , ,Gov,8.79,0.0,15.4,0.0,0,0,DES_CBG
8,POINT (-117.1535136950916 32.79433721957673),8,5404,Childrens Hospital And Health Center,Childrens Hospital And Health Center,9,San Diego,CA,DES_CBG_pts,NG,O-Propane Backup,Healthcare,5.47,13.185,4.62,6.1,0,0,DES_CBG
9,POINT (-117.1698807182801 32.71609532360631),9,5842,NRG Energy Center - San Diego,San Diego Power & Cooling Company/Energy Factors,10,San Diego,CA,DES_CBG_pts,NG,Purchased Electricity,Downtown/Utility,3.253,0.0,25.55,1.5,0,0,DES_CBG
10,POINT (-117.1706758444588 32.72492816550569),10,7553,JMI Realty,East Village District Plant,11,San Diego,CA,DES_CBG_pts, , ,Downtown/ Utility,0.0,0.0,42.7,0.0,0,0,DES_CBG
11,POINT (-121.4228233853561 38.55993659344809),11,8079,California State University - Sacramento, ,12,Sacramento,CA,DES_CBG_pts, , ,College,175.386,0.0,68.206,0.0,0,0,DES_CBG
12,POINT (-120.6603203957827 35.30029170914381),12,8821,California Polytechnic State University, ,13,San Luis Obispo,CA,DES_CBG_pts,NG, ,College,18.0,0.0,4.2,0.35,0,0,DES_CBG
13,POINT (-117.9308906433465 33.62583919098646),13,9096,Hoag Hospital,Hoag Hospital,14,Newport Beach,CA,DES_CBG_pts,NG, ,Healthcare,62.1,0.0,16.8,4.5,0,0,DES_CBG
14,POINT (-116.1380344260617 34.45921011639653),14,9263,U.S. Marine Corps,Marine Air Ground Task Force Training Command,15,Twentynine Palms,CA,DES_CBG_pts,NG,Diesel,Military,0.0,10.255,27.09,7.2,0,0,DES_CBG
15,POINT (-117.8474419512824 33.64593053970305),15,9513,University of California - Irvine, ,16,Irvine,CA,DES_CBG_pts,NG, ,College,159.634,0.0,62.08,0.0,0,0,DES_CBG
16,POINT (-118.0153181727681 33.90792403347248),16,10158,Biola University, ,17,La Mirada,CA,DES_CBG_pts,NG, ,College,57.9,0.0,6.3,2.2,0,0,DES_CBG
17,POINT (-122.1780671493091 37.43080863867979),17,10342,Cardinal Cogen,Stanford University,18,Stanford,CA,DES_CBG_pts,NG,Diesel Oil Backup,College,120.0,0.0,40.6,49.9,0,0,DES_CBG
18,POINT (-116.7748519754816 33.92032076709209),18,10582,EMCOR - Morongo Casino,Morongo Cogen Facility,19,Cabazon,CA,DES_CBG_pts,NG,None,Downtown/Utility,0.0,17.58,12.6,8.2,0,0,DES_CBG
19,POINT (-121.5562237282262 38.70430260931183),19,10916,Sacramento International Airport, ,20,Sacramento,CA,DES_CBG_pts,NG, ,Airport,0.0,0.0,0.7,1.0,0,0,DES_CBG
