,geometry,NAME,OBJECTID,County,Sm20,Med20,Lg20,Sm50,Med50,Lg50,Ctot50,Htot0,CGentotC50,CGentotH0,Clg50,Hlg50,CGenlgC50,CGenlgH0,Ctot20,Htot0.1,CGentotC20,CGentotH0.1,Clg20,Hlg20,CGenlgC20,CGenlgH0.1
0,"POLYGON ((-13374720.90546191 4823551.19986999, -13358458.57258653 4825687.197229948, -13358760.35569783 4785624.776342948, -13414606.23631255 4785777.717647268, -13422592.63294594 4796887.671262405, -13442467.72828692 4786721.395954039, -13472118.34637631 4777915.85255098, -13470714.83366303 4813687.688750992, -13455355.08125935 4833521.782233316, -13431168.57928148 4823402.299166673, -13374720.90546191 4823551.19986999))",Sierra,46,Sierra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"POLYGON ((-13485356.89792991 4680499.480178677, -13472721.90831475 4651482.099373398, -13472674.81735875 4621929.335184397, -13507956.42131084 4611722.385551273, -13522086.65216421 4616207.306176051, -13534227.60078349 4592772.655411419, -13551794.04087281 4583189.130806924, -13565668.68220301 4588758.549517388, -13549133.72803642 4591376.365940019, -13538167.31082907 4607108.813569934, -13535702.69849217 4623750.408407102, -13527728.66013101 4630422.793384275, -13526017.45972856 4662586.09240785, -13536773.70925006 4683903.68551277, -13523582.57017557 4683726.727755076, -13485356.89792991 4680499.480178677))",Sacramento,34,Sacramento,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"MULTIPOLYGON (((-13299125.42978493 4037283.848680691, -13301822.2554765 4026549.074765343, -13325778.32441954 4016776.299741548, -13350414.22219195 4016116.778987914, -13369927.30695368 4007659.874509671, -13391621.81049484 4024567.992842243, -13410301.6693415 4025596.073003678, -13422216.30854603 4039007.605866802, -13420790.30624343 4047706.076088301, -13398635.49777656 4048797.721651917, -13386486.97635041 4036597.473028864, -13358447.48476941 4039122.250551834, -13350413.77896439 4046258.697940021, -13319927.37250563 4038369.519089841, -13299125.42978493 4037283.848680691)), ((-13436575.08685345 4163878.400300631, -13428932.89088855 4158387.79170937, -13394754.57383619 4162050.752600251, -13369130.49401762 4178785.319686807, -13330016.82482007 4160305.053781851, -13299647.52626628 4150459.843939152, -13296263.19055856 4150473.417426557, -13296248.71470153 4090185.774971744, -13302786.61955673 4072785.242292341, -13347041.57924208 4077293.195657934, -13363328.95967353 4084320.542506878, -13390302.90113959 4085016.148151781, -13408545.16268238 4081450.852340912, -13437684.04753866 4105368.738785312, -13432333.36530191 4122692.340430842, -13433289.60127762 4141973.008535722, -13440028.7735551 4149763.141450845, -13436575.08685345 4163878.400300631)))",Santa Barbara,42,Santa Barbara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"POLYGON ((-13366409.2173532 4651706.453019113, -13360561.26856928 4640850.847492005, -13378000.80464585 4632326.185370509, -13415664.53033534 4572844.193734486, -13431062.4658158 4555700.85768317, -13461472.17569447 4590369.302452211, -13469158.56705453 4611317.39376297, -13430320.97315844 4626800.742501685, -13414516.60998577 4641683.218067166, -13366409.2173532 4651706.453019113))",Calaveras,5,Calaveras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,"MULTIPOLYGON (((-13317853.59433417 3931602.413992763, -13305498.35390488 3939836.736922166, -13287198.87302277 3927478.257696903, -13303821.54672799 3917547.535651628, -13317853.59433417 3931602.413992763)), ((-13302786.61955673 4072785.242292341, -13296248.71470153 4090185.774971744, -13296263.19055856 4150473.417426557, -13277850.27565201 4147542.118639848, -13274143.2240389 4138657.923764125, -13233814.2807406 4135465.401447773, -13206588.3070108 4068052.453246564, -13210079.61963457 4051409.57842489, -13223520.00321961 4051412.133804981, -13240449.02803542 4038854.945680597, -13241646.37992873 4027843.71608018, -13271287.64887071 4037196.775569048, -13284415.89413205 4060740.975550985, -13302786.61955673 4072785.242292341)))",Ventura,56,Ventura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"MULTIPOLYGON (((-13210018.38774803 3958856.141181295, -13193947.63592877 3965886.828767604, -13175708.712997 3957179.070570265, -13164950.23820236 3944578.172776137, -13172213.27855869 3928279.951875048, -13193368.88380181 3934746.444500188, -13210018.38774803 3958856.141181295)), ((-13211237.22125253 3898803.430783481, -13196047.89724786 3905102.815293712, -13168790.97956015 3874761.411918076, -13184296.45061502 3862173.381338517, -13195613.08111361 3870479.222871758, -13211237.22125253 3898803.430783481)), ((-13233814.2807406 4135465.401447773, -13230796.29779285 4139145.24381299, -13098664.38152429 4139789.889440008, -13096335.79495059 4067697.560798217, -13111576.87986195 4021609.254030657, -13133085.03363859 4021560.809732091, -13149716.38879463 3988209.580671429, -13174152.69061733 3983698.178447301, -13187683.2435685 3992006.524821119, -13185123.56377743 4007212.378139555, -13197745.86163629 4027147.579902225, -13227527.94882845 4021962.308134886, -13241646.37992873 4027843.71608018, -13240449.02803542 4038854.945680597, -13223520.00321961 4051412.133804981, -13210079.61963457 4051409.57842489, -13206588.3070108 4068052.453246564, -13233814.2807406 4135465.401447773)))",Los Angeles,19,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"POLYGON ((-13707273.88919233 4621363.491895542, -13716813.6389684 4642049.302156663, -13732477.29641358 4651753.790702755, -13749136.3743094 4676065.040836491, -13762708.11570771 4687083.884207104, -13733308.30066283 4694012.84405109, -13707466.4790161 4694369.411120488, -13701315.4089418 4700557.281312077, -13672438.57214279 4700228.804645067, -13650820.76654164 4674156.663695465, -13652921.58733745 4664411.258944239, -13641525.25167932 4653142.938378422, -13621045.90928986 4612039.948858014, -13626262.56304978 4601435.488341716, -13619657.75293971 4589780.872748423, -13636953.02005999 4595402.23010112, -13645344.39678581 4605393.196668141, -13663344.65011372 4608712.634351267, -13681359.04217082 4624297.192542735, -13707273.88919233 4621363.491895542))",Sonoma,49,Sonoma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"POLYGON ((-13310828.47463956 4368095.169669263, -13299885.54327494 4355933.763890479, -13305948.67017331 4337816.818883199, -13306923.60116866 4271705.295291018, -13379952.53845828 4271655.473977407, -13382160.33827153 4271665.35455322, -13393413.51734216 4287858.489152004, -13353799.58268003 4325611.625258397, -13353801.47757897 4355936.802147153, -13321191.87484302 4358424.50972698, -13310828.47463956 4368095.169669263))",Kings,16,Kings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"POLYGON ((-13092406.98703168 3939720.831299472, -13081123.75429568 3962530.893166831, -13051239.91992037 3952785.838804387, -12922542.76614255 3951977.397258187, -12924556.19920833 3905220.001706684, -12924882.13909121 3844787.805976865, -13047193.00309912 3832930.617028721, -13049239.61301147 3845137.511986453, -13060108.5165417 3854208.958665675, -13060369.00590011 3882445.020748883, -13072868.40799719 3918890.123418729, -13092406.98703168 3939720.831299472))",San Diego,37,San Diego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"POLYGON ((-13359044.21858515 4767109.596829887, -13358614.29909129 4731344.159156501, -13378834.04019929 4726115.783964833, -13406791.04421474 4725740.760836329, -13422054.28307291 4709418.254502502, -13439622.9518021 4722239.279174128, -13462385.4529941 4716487.0083919, -13475549.87451294 4707378.869267837, -13485356.89792991 4680499.480178677, -13523582.57017557 4683726.727755076, -13521908.3274507 4711076.830312978, -13515832.84365448 4721164.098209966, -13500777.32600069 4726632.253618933, -13474291.63171179 4723647.945533847, -13465883.89350986 4740013.503503084, -13439369.03605811 4763021.861960478, -13430229.92743956 4766916.638660412, -13359044.21858515 4767109.596829887))",Placer,31,Placer,0.0,0.0,0.0,1.0,0.0,0.0,183646.666667,1238735.33427,28.7838416769,186.638121457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,"MULTIPOLYGON (((-13649138.60602841 4553356.640325924, -13627585.81404945 4558611.316304188, -13629100.87355285 4569517.734834305, -13622588.57044651 4563013.750876091, -13612346.95085205 4538290.792775901, -13645009.09618488 4538078.462822701, -13649138.60602841 4553356.640325924)), ((-13711642.05971017 4547243.828378503, -13700146.20608265 4553160.205876662, -13686731.20254541 4541662.284275766, -13692400.36989913 4528684.819067694, -13711642.05971017 4547243.828378503)))",San Francisco,38,San Francisco,0.0,0.0,0.0,5.0,0.0,0.0,918233.333333,6193676.67135,143.919208384,933.190607284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,"POLYGON ((-13707273.88919233 4621363.491895542, -13681359.04217082 4624297.192542735, -13663344.65011372 4608712.634351267, -13645344.39678581 4605393.196668141, -13636953.02005999 4595402.23010112, -13619657.75293971 4589780.872748423, -13629100.87355285 4569517.734834305, -13627585.81404945 4558611.316304188, -13649138.60602841 4553356.640325924, -13664743.48643075 4559343.60641553, -13679974.77952783 4575769.62389057, -13701636.33122148 4577076.946734246, -13693948.27430059 4600515.334569609, -13707273.88919233 4621363.491895542))",Marin,21,Marin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"POLYGON ((-13401495.55656107 4527761.844445166, -13401489.21135337 4527809.637202757, -13396794.20091357 4540620.783284239, -13361300.64460388 4552885.044477306, -13336688.45713842 4545524.054932117, -13321293.52618345 4551384.087056275, -13306465.32360842 4565721.738385979, -13281417.98719374 4548110.709133714, -13311985.20844701 4517501.451587447, -13319511.07340088 4497509.029495543, -13331825.01482688 4497408.393230888, -13364135.0541082 4464661.213817474, -13374350.95742 4472500.42420355, -13387952.4222425 4495095.026418389, -13401495.55656107 4527761.844445166))",Mariposa,22,Mariposa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,"POLYGON ((-13506594.13746036 5039503.543695182, -13358325.45742743 5039516.57690903, -13357862.24393339 4920708.901308015, -13358458.57258653 4825687.197229948, -13374720.90546191 4823551.19986999, -13370447.57563039 4857156.697067209, -13381677.48991321 4878449.38261707, -13396343.16773013 4882704.008842005, -13422552.23549405 4907508.06819018, -13443433.32675737 4911971.588047775, -13455386.70310419 4901119.897294549, -13476505.23859998 4903275.129293243, -13476496.78130188 4931046.209832073, -13506153.3001785 4930875.208725441, -13505414.14578378 4995939.846196629, -13506594.13746036 5039503.543695182))",Lassen,18,Lassen,16.0,0.0,0.0,29.0,58.0,24.0,226571416.19,1528271784.43,103681.453018,260610.203179,152707062.857,1030041208.95,87903.5802729,183858.045897,2938346.66667,19819765.3483,460.54146683,2986.20994331,0.0,0.0,0.0,0.0
14,"POLYGON ((-13624956.79493373 4702245.16644572, -13613039.15075243 4698769.649147072, -13592476.54073534 4652201.369851476, -13595048.91076697 4640196.71063479, -13588190.51437233 4624150.922337844, -13603909.16280469 4624122.686787585, -13604742.05320814 4601331.01413969, -13626262.56304978 4601435.488341716, -13621045.90928986 4612039.948858014, -13641525.25167932 4653142.938378422, -13652921.58733745 4664411.258944239, -13650820.76654164 4674156.663695465, -13632619.3596853 4679532.687733989, -13624956.79493373 4702245.16644572))",Napa,28,Napa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
