,OBJECTID,County,Mlr_wet16,Mpl_wet16,Mbr_wet16,Mtk_wet16,Mhg_wet16,Mgt_wet16,Msh_wet16,Meq_wet16,Mdk_wet16,Blr_wet16,Bpl_wet16,Bbr_wet16,Mlr_wet20,Mpl_wet20,Mbr_wet20,Mtk_wet20,Mhg_wet20,Mgt_wet20,Msh_wet20,Meq_wet20,Mdk_wet20,Blr_wet20,Bpl_wet20,Bbr_wet20,Mlr_wet50,Mpl_wet50,Mbr_wet50,Mtk_wet50,Mhg_wet50,Mgt_wet50,Msh_wet50,Meq_wet50,Mdk_wet50,Blr_wet50,Bpl_wet50,Bbr_wet50,Mlr_wet16_wt,Mpl_wet16_wt,Mbr_wet16_wt,Mtk_wet16_wt,Mhg_wet16_wt,Mgt_wet16_wt,Msh_wet16_wt,Meq_wet16_wt,Mdk_wet16_wt,Blr_wet16_wt,Bpl_wet16_wt,Bbr_wet16_wt,Mlr_wet20_wt,Mpl_wet20_wt,Mbr_wet20_wt,Mtk_wet20_wt,Mhg_wet20_wt,Mgt_wet20_wt,Msh_wet20_wt,Meq_wet20_wt,Mdk_wet20_wt,Blr_wet20_wt,Bpl_wet20_wt,Bbr_wet20_wt,Mlr_wet50_wt,Mpl_wet50_wt,Mbr_wet50_wt,Mtk_wet50_wt,Mhg_wet50_wt,Mgt_wet50_wt,Msh_wet50_wt,Meq_wet50_wt,Mdk_wet50_wt,Blr_wet50_wt,Bpl_wet50_wt,Bbr_wet50_wt,Mlr_wet16_tech,Mpl_wet16_tech,Mbr_wet16_tech,Mtk_wet16_tech,Mhg_wet16_tech,Mgt_wet16_tech,Msh_wet16_tech,Meq_wet16_tech,Mdk_wet16_tech,Blr_wet16_tech,Bpl_wet16_tech,Bbr_wet16_tech,Mlr_wet20_tech,Mpl_wet20_tech,Mbr_wet20_tech,Mtk_wet20_tech,Mhg_wet20_tech,Mgt_wet20_tech,Msh_wet20_tech,Meq_wet20_tech,Mdk_wet20_tech,Blr_wet20_tech,Bpl_wet20_tech,Bbr_wet20_tech,Mlr_wet50_tech,Mpl_wet50_tech,Mbr_wet50_tech,Mtk_wet50_tech,Mhg_wet50_tech,Mgt_wet50_tech,Msh_wet50_tech,Meq_wet50_tech,Mdk_wet50_tech,Blr_wet50_tech,Bpl_wet50_tech,Bbr_wet50_tech,Mlr_wet16_wt_tech,Mpl_wet16_wt_tech,Mbr_wet16_wt_tech,Mtk_wet16_wt_tech,Mhg_wet16_wt_tech,Mgt_wet16_wt_tech,Msh_wet16_wt_tech,Meq_wet16_wt_tech,Mdk_wet16_wt_tech,Blr_wet16_wt_tech,Bpl_wet16_wt_tech,Bbr_wet16_wt_tech,Mlr_wet20_wt_tech,Mpl_wet20_wt_tech,Mbr_wet20_wt_tech,Mtk_wet20_wt_tech,Mhg_wet20_wt_tech,Mgt_wet20_wt_tech,Msh_wet20_wt_tech,Meq_wet20_wt_tech,Mdk_wet20_wt_tech,Blr_wet20_wt_tech,Bpl_wet20_wt_tech,Bbr_wet20_wt_tech,Mlr_wet50_wt_tech,Mpl_wet50_wt_tech,Mbr_wet50_wt_tech,Mtk_wet50_wt_tech,Mhg_wet50_wt_tech,Mgt_wet50_wt_tech,Msh_wet50_wt_tech,Meq_wet50_wt_tech,Mdk_wet50_wt_tech,Blr_wet50_wt_tech,Bpl_wet50_wt_tech,Bbr_wet50_wt_tech,tot_16,tot_16_tech,tot_16_wt,tot_16_wt_tech,tot_20,tot_20_tech,tot_20_wt,tot_20_wt_tech,tot_50,tot_50_tech,tot_50_wt,tot_50_wt_tech,tot_wet_16,tot_wet_16_tech,tot_wet_16_wt,tot_wet_16_wt_tech,tot_wet_20,tot_wet_20_tech,tot_wet_20_wt,tot_wet_20_wt_tech,tot_wet_50,tot_wet_50_tech,tot_wet_50_wt,tot_wet_50_wt_tech,tot_dry_16,tot_dry_16_tech,tot_dry_16_wt,tot_dry_16_wt_tech,tot_dry_20,tot_dry_20_tech,tot_dry_20_wt,tot_dry_20_wt_tech,tot_dry_50,tot_dry_50_tech,tot_dry_50_wt,tot_dry_50_wt_tech
0,1,Alameda,6.605900337,0.298010541,1.271511644,0.0,4.139035299,71.46706689,133.8738848,2354.085266,27.11511825,5.646675375,0.254737235,0.905732391,7.15043897052,0.322576193597,1.37632509528,0.0,4.48022491901,77.3582515826,133.8738848,2354.085266,27.11511825,6.11214302298,0.275735775513,0.980393868372,12.9520304607,0.584302125029,2.49302240483,0.0,8.11530730644,140.12376513,133.8738848,2354.085266,27.11511825,11.0713010684,0.499457191128,1.77584779046,26.423601348,1.192042164,4.8904294,0.0,45.9892811,193.154234838,361.82131027,6194.96122632,73.2841033784,7.5289005,0.339649646667,1.207643188,28.6017558821,1.29030477439,5.29355805877,0.0,49.7802768779,209.076355629,361.82131027,6194.96122632,73.2841033784,8.14952403064,0.367647700685,1.3071918245,51.8081218427,2.33720850011,9.58854771088,0.0,90.1700811827,378.71287873,361.82131027,6194.96122632,73.2841033784,14.7617347578,0.665942921504,2.36779705395,4.6241302359,0.2086073787,0.8900581508,0.0,2.8973247093,50.026946823,93.71171936,1647.8596862,18.980582775,3.9526727625,0.1783160645,0.6340126737,5.00530727937,0.225803335518,0.963427566696,0.0,3.13615744331,54.1507761078,93.71171936,1647.8596862,18.980582775,4.27850011609,0.193015042859,0.68627570786,9.06642132248,0.40901148752,1.74511568338,0.0,5.68071511451,98.0866355911,93.71171936,1647.8596862,18.980582775,7.74991074786,0.34962003379,1.24309345332,18.4965209436,0.8344295148,3.42330058,0.0,32.19249677,135.207964386,253.274917189,4336.47285842,51.2988723649,5.27023035,0.237754752667,0.8453502316,20.0212291175,0.903213342073,3.70549064114,0.0,34.8461938145,146.35344894,253.274917189,4336.47285842,51.2988723649,5.70466682145,0.257353390479,0.915034277147,36.2656852899,1.63604595008,6.71198339761,0.0,63.1190568279,265.099015111,253.274917189,4336.47285842,51.2988723649,10.3332143305,0.466160045053,1.65745793776,2605.66293876,1823.96405713,6910.79242215,4837.5546955,2613.13035848,1829.19125093,6933.93325474,4853.75327832,2692.68930253,1884.88251177,7180.47895266,5026.33526686,2605.66293876,1823.96405713,6910.79242215,4837.5546955,2613.13035848,1829.19125093,6933.93325474,4853.75327832,2692.68930253,1884.88251177,7180.47895266,5026.33526686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,Alpine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.905732391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06282602837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.73652382248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54097652133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7504347045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98203176331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3340126737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44397821986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61556667574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77868356493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92530429315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48742223432,1.905732391,1.3340126737,2.54097652133,1.77868356493,2.06282602837,1.44397821986,2.7504347045,1.92530429315,3.73652382248,2.61556667574,4.98203176331,3.48742223432,1.905732391,1.3340126737,2.54097652133,1.77868356493,2.06282602837,1.44397821986,2.7504347045,1.92530429315,3.73652382248,2.61556667574,4.98203176331,3.48742223432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,Amador,31.50633669,2.442030826,0.0,0.0,2.483421179,554.884039,73.24542824,1942.428471,51.76522575,26.93138656,2.08743012,0.0,34.103472077,2.64333270177,0.0,0.0,2.68813495097,600.624328884,73.24542824,1942.428471,51.76522575,29.1513989259,2.25950149364,0.0,61.7737192049,4.78803131,0.0,0.0,4.86918438308,1087.94783582,73.24542824,1942.428471,51.76522575,52.8037241373,4.0927742048,0.0,126.02534676,9.768123304,0.0,0.0,27.5935686556,1499.68659189,197.960616865,5111.65387105,139.906015541,35.9085154133,2.78324016,0.0,136.413888308,10.5733308071,0.0,0.0,29.8681661219,1623.30899698,197.960616865,5111.65387105,139.906015541,38.8685319012,3.01266865819,0.0,247.09487682,19.15212524,0.0,0.0,54.1020487009,2940.39955627,197.960616865,5111.65387105,139.906015541,70.4049655164,5.45703227307,0.0,22.054435683,1.7094215782,0.0,0.0,1.7383948253,388.4188273,51.271799768,1359.6999297,36.235658025,18.851970592,1.461201084,0.0,23.8724304539,1.85033289124,0.0,0.0,1.88169446568,420.437030219,51.271799768,1359.6999297,36.235658025,20.4059792482,1.58165104555,0.0,43.2416034434,3.351621917,0.0,0.0,3.40842906816,761.563485073,51.271799768,1359.6999297,36.235658025,36.9626068961,2.86494194336,0.0,88.217742732,6.8376863128,0.0,0.0,19.3154980589,1049.78061432,138.572431805,3578.15770974,97.9342108784,25.1359607893,1.948268112,0.0,95.4897218157,7.40133156497,0.0,0.0,20.9077162854,1136.31629789,138.572431805,3578.15770974,97.9342108784,27.2079723309,2.10886806073,0.0,172.966413774,13.406487668,0.0,0.0,37.8714340906,2058.27968939,138.572431805,3578.15770974,97.9342108784,49.2834758615,3.81992259115,0.0,2687.77376937,1881.44163856,7151.28588964,5005.90012275,2738.90929402,1917.23650582,7291.56608624,5104.09626037,3283.71439405,2298.60007583,8786.13110828,6150.29177579,2687.77376937,1881.44163856,7151.28588964,5005.90012275,2738.90929402,1917.23650582,7291.56608624,5104.09626037,3283.71439405,2298.60007583,8786.13110828,6150.29177579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,Butte,41.08406437,1.614223766,15.65548711,4.29631864,530.127641,446.279064,438.0210594,4826.491049,305.661333,35.11835825,1.379826689,11.15183006,44.4707125376,1.74728771775,16.9460027283,4.65047346554,573.827207523,483.066811208,438.0210594,4826.491049,305.661333,38.0132403762,1.4935687834,12.0710994998,80.5525403083,3.16496984832,30.6953383462,8.42368898338,1039.40855962,875.008664378,438.0210594,4826.491049,305.661333,68.8557233047,2.70539311747,21.8651259118,164.33625748,6.456895064,60.2134119615,16.5243024615,5890.30712222,1206.15963243,1183.84070108,12701.2922342,826.111710811,46.8244776667,1.83976891867,14.8691067467,177.88285015,6.98915087102,65.1769335705,17.8864364059,6375.85786137,1305.58597624,1183.84070108,12701.2922342,826.111710811,50.6843205016,1.99142504453,16.0947993331,322.210161233,12.6598793933,118.058993639,32.3988037822,11548.9839958,2364.8882821,1183.84070108,12701.2922342,826.111710811,91.807631073,3.60719082329,29.1535012158,28.758845059,1.1299566362,10.958840977,3.007423048,371.0893487,312.3953448,306.61474158,3378.5437343,213.9629331,24.582850775,0.9658786823,7.806281042,31.1294987763,1.22310140243,11.8622019098,3.25533142588,401.679045266,338.146767846,306.61474158,3378.5437343,213.9629331,26.6092682633,1.04549814838,8.44976964986,56.3867782158,2.21547889382,21.4867368423,5.89658228836,727.585991735,612.506065065,306.61474158,3378.5437343,213.9629331,48.1990063133,1.89377518223,15.3055881383,115.035380236,4.5198265448,42.1493883731,11.5670117231,4123.21498556,844.311742703,828.688490757,8890.90456395,578.278197568,32.7771343667,1.28783824307,10.4083747227,124.517995105,4.89240560971,45.6238534993,12.5205054842,4463.10050296,913.910183367,828.688490757,8890.90456395,578.278197568,35.4790243511,1.39399753117,11.2663595331,225.547112863,8.86191557529,82.6412955475,22.6791626476,8084.28879705,1655.42179747,828.688490757,8890.90456395,578.278197568,64.2653417511,2.5250335763,20.407450851,6656.88025529,4659.8161787,22118.7756211,15483.1429347,6746.45984524,4722.52189167,22729.3943996,15910.5760797,7700.85344522,5390.59741165,29235.0130852,20464.5091596,6656.88025529,4659.8161787,22118.7756211,15483.1429347,6746.45984524,4722.52189167,22729.3943996,15910.5760797,7700.85344522,5390.59741165,29235.0130852,20464.5091596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,Calaveras,20.72828878,0.902309695,0.0,1444.208753,17.21838684,755.8656594,175.5210567,3261.209222,354.961548,17.7183899,0.771287739,0.0,22.4369663972,0.976689032148,0.0,1563.258,18.6377356589,818.173298374,175.5210567,3261.209222,354.961548,19.1789550512,0.834866653307,0.0,40.6414589958,1.76913699245,0.0,2831.62548724,33.7596783873,1482.00768181,175.5210567,3261.209222,354.961548,34.740022403,1.51224538365,0.0,82.91315512,3.60923878,0.0,5554.64905,191.315409333,2042.88016054,474.381234324,8582.12953158,959.355535135,23.6245198667,1.028383652,0.0,89.747865589,3.90675612859,0.0,6012.53076923,207.085951766,2211.2791848,474.381234324,8582.12953158,959.355535135,25.5719400682,1.11315553774,0.0,162.565835983,7.07654796979,0.0,10890.8672586,375.107537636,4005.42616707,474.381234324,8582.12953158,959.355535135,46.3200298706,2.0163271782,0.0,14.509802146,0.6316167865,0.0,1010.9461271,12.052870788,529.10596158,122.86473969,2282.8464554,248.4730836,12.40287293,0.5399014173,0.0,15.7058764781,0.683682322503,0.0,1094.2806,13.0464149613,572.721308862,122.86473969,2282.8464554,248.4730836,13.4252685358,0.584406657315,0.0,28.449021297,1.23839589471,0.0,1982.13784107,23.6317748711,1037.40537727,122.86473969,2282.8464554,248.4730836,24.3180156821,1.05857176855,0.0,58.039208584,2.526467146,0.0,3888.254335,133.920786533,1430.01611238,332.066864027,6007.49067211,671.548874595,16.5371639067,0.7198685564,0.0,62.8235059123,2.73472929001,0.0,4208.77153846,144.960166236,1547.89542936,332.066864027,6007.49067211,671.548874595,17.9003580478,0.77920887642,0.0,113.796085188,4.95358357885,0.0,7623.60708104,262.575276345,2803.79831695,332.066864027,6007.49067211,671.548874595,32.4240209094,1.41142902474,0.0,6049.10490205,4234.37343144,17915.8862183,12541.1203528,6235.18833787,4364.63183651,18567.1019242,12996.9713469,8217.74753792,5752.42327654,25505.2460054,17853.6722038,6049.10490205,4234.37343144,17915.8862183,12541.1203528,6235.18833787,4364.63183651,18567.1019242,12996.9713469,8217.74753792,5752.42327654,25505.2460054,17853.6722038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,Colusa,2.069517649,0.0,0.0,0.0,97.0189874,207.5353689,211.0272246,1234.970386,113.3904945,1.769008576,0.0,0.0,2.24011245897,0.0,0.0,0.0,105.016472092,224.642957635,211.0272246,1234.970386,113.3904945,1.91483177398,0.0,0.0,4.05765365224,0.0,0.0,0.0,190.222803246,406.909623599,211.0272246,1234.970386,113.3904945,3.4684527154,0.0,0.0,8.278070596,0.0,0.0,0.0,1077.98874889,560.906402432,570.34385027,3249.92206842,306.460795946,2.35867810133,0.0,0.0,8.96044983586,0.0,0.0,0.0,1166.84968992,607.143128743,570.34385027,3249.92206842,306.460795946,2.55310903197,0.0,0.0,16.230614609,0.0,0.0,0.0,2113.58670274,1099.75573946,570.34385027,3249.92206842,306.460795946,4.62460362054,0.0,0.0,1.4486623543,0.0,0.0,0.0,67.91329118,145.27475823,147.71905722,864.4792702,79.37334615,1.2383060032,0.0,0.0,1.56807872128,0.0,0.0,0.0,73.5115304647,157.250070344,147.71905722,864.4792702,79.37334615,1.34038224178,0.0,0.0,2.84035755657,0.0,0.0,0.0,133.155962272,284.836736519,147.71905722,864.4792702,79.37334615,2.42791690078,0.0,0.0,5.7946494172,0.0,0.0,0.0,754.592124222,392.634481703,399.240695189,2274.94544789,214.522557162,1.65107467093,0.0,0.0,6.2723148851,0.0,0.0,0.0,816.794782941,425.00019012,399.240695189,2274.94544789,214.522557162,1.78717632238,0.0,0.0,11.3614302263,0.0,0.0,0.0,1479.51069192,769.82901762,399.240695189,2274.94544789,214.522557162,3.23722253438,0.0,0.0,1867.78098762,1307.44669134,5776.25861466,4043.38103026,1893.20247906,1325.24173534,5912.23309216,4138.56316451,2164.04663831,1514.83264682,7360.92437506,5152.64706254,1867.78098762,1307.44669134,5776.25861466,4043.38103026,1893.20247906,1325.24173534,5912.23309216,4138.56316451,2164.04663831,1514.83264682,7360.92437506,5152.64706254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,Contra Costa,26.95339786,0.993368472,1.281445328,0.596021083,9.271439069,0.0,63.75478586,6551.998574,160.2256988,23.03956769,0.849124116,0.912808425,29.1752246649,1.07525398082,1.38707763431,0.645152388277,10.0357038178,0.0,63.75478586,6551.998574,160.2256988,24.9387690202,0.91911925099,0.988053195139,52.8468811657,1.94767375402,2.51249914096,1.16860425202,18.1782883649,0.0,63.75478586,6551.998574,160.2256988,45.1731281579,1.66485730245,1.78972160073,107.81359144,3.973473888,4.92863587692,2.29238878077,103.015989656,0.0,172.310232054,17242.1015105,433.042429189,30.7194235867,1.132165488,1.2170779,116.70089866,4.30101592329,5.33491397811,2.48135533953,111.507820197,0.0,172.310232054,17242.1015105,433.042429189,33.2516920269,1.22549233465,1.31740426019,211.387524663,7.79069501607,9.66345823445,4.49463173853,201.980981833,0.0,172.310232054,17242.1015105,433.042429189,60.2308375439,2.2198097366,2.38629546763,18.867378502,0.6953579304,0.8970117296,0.4172147581,6.4900073483,0.0,44.628350102,4586.3990018,112.15798916,16.127697383,0.5943868812,0.6389658975,20.4226572655,0.752677786576,0.970954344016,0.451606671794,7.02499267244,0.0,44.628350102,4586.3990018,112.15798916,17.4571383141,0.643383475693,0.691637236597,36.992816816,1.36337162781,1.75874939867,0.818022976413,12.7248018555,0.0,44.628350102,4586.3990018,112.15798916,31.6211897106,1.16540011172,1.25280512051,75.469514008,2.7814317216,3.45004511385,1.60467214654,72.1111927589,0.0,120.617162438,12069.4710574,303.129700432,21.5035965107,0.7925158416,0.85195453,81.6906290618,3.0107111463,3.73443978468,1.73694873767,78.0554741382,0.0,120.617162438,12069.4710574,303.129700432,23.2761844188,0.857844634257,0.92218298213,147.971267264,5.45348651125,6.76442076411,3.14624221697,141.386687283,0.0,120.617162438,12069.4710574,303.129700432,42.1615862807,1.55386681562,1.67040682734,6839.8762307,4787.91336149,18102.5469184,12671.7828429,6845.14341261,4791.60038883,18123.5747645,12686.5023351,6901.2607124,4830.88249868,18347.608406,12843.3258842,6839.8762307,4787.91336149,18102.5469184,12671.7828429,6845.14341261,4791.60038883,18123.5747645,12686.5023351,6901.2607124,4830.88249868,18347.608406,12843.3258842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,Del Norte,9.445278551,0.662245648,3.248314902,2.706929085,14.07272002,60.54415273,24.89897942,350.0315265,0.0,8.073755141,0.566082744,2.313863217,10.2238732638,0.716835987215,3.51608051573,2.93006709644,15.2327647283,65.5349380149,24.89897942,350.0315265,0.0,8.73929221658,0.612746167327,2.50459995992,18.5191312707,1.29844916934,6.36889317281,5.30741097734,27.5920448486,118.707469137,24.89897942,350.0315265,0.0,15.8300181934,1.1099048683,4.53673615095,37.781114204,2.648982592,12.4935188538,10.4112657115,156.363555778,163.632845216,67.294538973,921.135596053,0.0,10.7650068547,0.754776992,3.085150956,40.895493055,2.86734394886,13.523386599,11.2694888325,169.252941426,177.121454094,67.294538973,921.135596053,0.0,11.6523896221,0.816994889769,3.33946661323,74.0765250829,5.19379667738,24.4957429724,20.4131191436,306.578276095,320.830997667,67.294538973,921.135596053,0.0,21.1066909245,1.47987315774,6.0489815346,6.6116949857,0.4635719536,2.2738204314,1.8948503595,9.850904014,42.380906911,17.429285594,245.02206855,0.0,5.6516285987,0.3962579208,1.6197042519,7.15671128463,0.501785191051,2.46125636101,2.05104696751,10.6629353098,45.8744566104,17.429285594,245.02206855,0.0,6.11750455161,0.428922317129,1.75321997195,12.9633918895,0.908914418541,4.45822522097,3.71518768414,19.314431394,83.0952283958,17.429285594,245.02206855,0.0,11.0810127354,0.776933407811,3.17571530566,26.4467799428,1.8542878144,8.74546319769,7.28788599808,109.454489044,114.542991651,47.1061772811,644.794917237,0.0,7.53550479827,0.5283438944,2.1596056692,28.6268451385,2.0071407642,9.46637061928,7.88864218273,118.477058998,123.985017866,47.1061772811,644.794917237,0.0,8.15667273548,0.571896422838,2.33762662926,51.853567558,3.63565767416,17.1470200806,14.2891834005,214.604793267,224.581698367,47.1061772811,644.794917237,0.0,14.7746836471,1.03591121042,4.23428707422,476.563847958,333.594693571,1386.36635218,970.456446529,484.94170387,339.459192709,1419.16909411,993.418365874,574.200563708,401.940394596,1768.65413828,1238.0578968,476.563847958,333.594693571,1386.36635218,970.456446529,484.94170387,339.459192709,1419.16909411,993.418365874,574.200563708,401.940394596,1768.65413828,1238.0578968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,El Dorado,45.57905671,5.422136241,4.847638142,4.470158122,49.66842358,1032.683512,140.3498526,6966.12038,456.0269888,38.96064488,4.634802469,3.45310474,49.3362368054,5.86909464316,5.24723942494,4.83864291154,53.7626990195,1117.80984449,140.3498526,6966.12038,456.0269888,42.1722549925,5.01685924769,3.73775162242,89.3657640535,10.6310525701,9.50464791694,8.76453188915,97.3836876616,2024.75781064,140.3498526,6966.12038,456.0269888,76.3892026083,9.08734611412,6.77041969978,182.31622684,21.688544964,18.6447620846,17.1929158538,551.871373111,2791.03651892,379.323925946,18331.8957368,1232.50537514,51.9475265067,6.17973662533,4.60413965333,197.344947221,23.4763785726,20.1816900959,18.6101650444,597.363322439,3021.10768781,379.323925946,18331.8957368,1232.50537514,56.2296733233,6.68914566359,4.9836688299,357.463056214,42.5242102803,36.5563381421,33.7097380352,1082.04097402,5472.31840714,379.323925946,18331.8957368,1232.50537514,101.852270144,12.1164614855,9.02722626637,31.905339697,3.7954953687,3.3933466994,3.1291106854,34.767896506,722.8784584,98.24489682,4876.284266,319.21889216,27.272451416,3.2443617283,2.417173318,34.5353657638,4.10836625021,3.67306759746,3.38705003808,37.6338893136,782.466891143,98.24489682,4876.284266,319.21889216,29.5205784947,3.51180147339,2.6164261357,62.5560348374,7.44173679906,6.65325354185,6.13517232241,68.1685813631,1417.33046745,98.24489682,4876.284266,319.21889216,53.4724418258,6.36114227989,4.73929378985,127.621358788,15.1819814748,13.0513334592,12.0350410977,386.309961178,1953.72556324,265.526748162,12832.3270158,862.753762595,36.3632685547,4.32581563773,3.22289775733,138.141463055,16.4334650008,14.1271830672,13.0271155311,418.154325707,2114.77538147,265.526748162,12832.3270158,862.753762595,39.3607713263,4.68240196451,3.48856818093,250.22413935,29.7669471962,25.5894366994,23.5968166246,757.428681813,3830.622885,265.526748162,12832.3270158,862.753762595,71.2965891011,8.48152303985,6.31905838646,8752.21669828,6126.5516888,23589.2067825,16512.4447477,8850.28784456,6195.20149119,23889.7117169,16722.7982018,9895.15168456,6926.60617919,27091.3337197,18963.9336038,8752.21669828,6126.5516888,23589.2067825,16512.4447477,8850.28784456,6195.20149119,23889.7117169,16722.7982018,9895.15168456,6926.60617919,27091.3337197,18963.9336038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10,Fresno,51.82900001,142.0268572,122956.5766,24160.43479,481.7837088,2218.599906,7504.530065,12391.60904,833.1736336,44.30305078,121.4035206,87585.31992,56.1013764315,153.734437817,133092.152795,26152.0316163,521.498180569,2401.48388843,7504.530065,12391.60904,833.1736336,47.9550469504,131.411075035,94805.1670253,101.619878083,278.468654815,241078.012719,47370.785416,944.621770463,4349.95566034,7504.530065,12391.60904,833.1736336,86.8639298098,238.032973044,171726.437524,207.31600004,568.1074288,472909.91,92924.7491923,5353.15232,5996.21596216,20282.5136892,32609.4974737,2251.82063135,59.0707343733,161.8713608,116780.42656,224.405505726,614.937751268,511892.895367,100584.736986,5794.42422855,6490.49699575,20282.5136892,32609.4974737,2251.82063135,63.9400626005,175.214766713,126406.889367,406.479512333,1113.87461926,927223.125843,182195.328523,10495.7974496,11756.6369198,20282.5136892,32609.4974737,2251.82063135,115.81857308,317.377297391,228968.583365,36.280300007,99.41880004,86069.60362,16912.304353,337.24859616,1553.0199342,5253.1710455,8674.126328,583.22154352,31.012135546,84.98246442,61309.723944,39.270963502,107.614106472,93164.5069567,18306.4221314,365.048726398,1681.0387219,5253.1710455,8674.126328,583.22154352,33.5685328653,91.9877525243,66363.6169177,71.1339146583,194.928058371,168754.608903,33159.5497912,661.235239324,3044.96896224,5253.1710455,8674.126328,583.22154352,60.8047508669,166.62308113,120208.506267,145.121200028,397.67520016,331036.937,65047.3244346,3747.206624,4197.35117351,14197.7595824,22826.6482316,1576.27444195,41.3495140613,113.30995256,81746.298592,157.083854008,430.456425888,358325.026757,70409.31589,4056.09695998,4543.34789702,14197.7595824,22826.6482316,1576.27444195,44.7580438204,122.650336699,88484.8225569,284.535658633,779.712233483,649056.18809,127536.729966,7347.05821471,8229.64584389,14197.7595824,22826.6482316,1576.27444195,81.0730011558,222.164108174,160278.008356,258491.590092,180944.113064,750104.651353,525073.255947,278090.848181,194663.593727,807391.772824,565174.240977,486904.111264,340832.877885,1417736.8539,992415.797728,258491.590092,180944.113064,750104.651353,525073.255947,278090.848181,194663.593727,807391.772824,565174.240977,486904.111264,340832.877885,1417736.8539,992415.797728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
