,geometry,FID,COUNTY,Company,Address,City,State,Zip,MASTERTYPE,Type,Subtype,Latitude,Longitude,Emplycode,EmplyAvg,TYPE
0,POINT (-122.1999862 37.75743804),149,Alameda,Bimbo Bakeries,937 66th Ave, Oakland,CA,94621,bakery,bakery,bread,37.75743804,-122.1999862,212.0,2.0,PROC
1,POINT (-120.361013 36.170199),1,Fresno,Harris Woolf,26060 Colusa Road, Coalinga,CA,93210,almond,shelling,almond,36.170199,-120.361013,212.0,2.0,PROC
2,POINT (-118.9792288 35.3532426),130,Kern,Bimbo Bakeries,2309 E Brundage Ln  C, Bakersfield,CA,93307,bakery,bakery,bread,35.3532426,-118.9792288,212.0,2.0,PROC
3,POINT (-119.0729585 35.3142386),129,Kern,FritoLay,6320 District Blvd, Bakersfield,CA,93313,bakery,distributor,bakery,35.3142386,-119.0729585,212.0,2.0,PROC
4,POINT (-122.9247018 39.03967716),161,Lake,FritoLay,781 Bevins St, Lakeport,CA,95453,bakery,distributor,bakery,39.03967716,-122.9247018,212.0,2.0,PROC
5,POINT (-118.4635072 34.04036946),494,Los Angeles,Star Kosher Meat Market,12136 California Route 2, Los Angeles,CA,90025,redmeat,processor,meat,34.04036946,-118.4635072,212.0,2.0,PROC
6,POINT (-120.6165935 37.34638531),140,Merced,Bimbo Bakeries,1791 Sycamore Ave, Atwater,CA,95301,bakery,bakery,bread,37.34638531,-120.6165935,212.0,2.0,PROC
7,POINT (-117.2167535 33.14838051),106,San Diego,Bimbo Bakeries,2825 La Mirada Dr, Vista,CA,92081,bakery,bakery,bread,33.14838051,-117.2167535,212.0,2.0,PROC
8,POINT (-121.2664014 37.91486673),466,San Joaquin,Hormel Foods Corp,3656 Perlman Dr, Stockton,CA,95206,misc,distributor,misc meat,37.91486673,-121.2664014,212.0,2.0,PROC
9,POINT (-121.8893686 37.3692697),141,Santa Clara,Bimbo Bakeries,890 Service St  G, San Jose,CA,95112,bakery,bakery,bread,37.3692697,-121.8893686,212.0,2.0,PROC
10,POINT (-121.9034578 37.3716289),142,Santa Clara,Bimbo Bakeries,1711 Junction Ct  370, San Jose,CA,95112,bakery,bakery,bread,37.3716289,-121.9034578,212.0,2.0,PROC
11,POINT (-121.9063447 37.36906501000001),505,Santa Clara,Mohawk Packing Co,1660 Old Bayshore Hwy, San Jose,CA,95112,redmeat,distributer,meat,37.36906501,-121.9063447,212.0,2.0,PROC
12,POINT (-121.7655482 36.9115343),273,Santa Cruz,Foster Farms Dairy,255 Ford St, Watsonville,CA,95076,dairy,dairy,dairy,36.9115343,-121.7655482,212.0,2.0,PROC
13,POINT (-121.6409908 39.21891552),250,Sutter,pacific coast producers,6005 CA 99, Live Oak,CA,95953,cannery,cannery,fruit tomato,39.21891552,-121.6409908,212.0,2.0,PROC
14,POINT (-121.97365 38.525534),304,Yolo,sunsweet dryers,29485 Co Rd 27, Winters,CA,95694,dehydrator,dehydrator,prune date fruit nut,38.525534,-121.97365,212.0,2.0,PROC
15,POINT (-122.2406215 37.7782329),150,Alameda,Bimbo Bakeries,901 King St, Oakland,CA,94606,bakery,bakery,bread,37.7782329,-122.2406215,220.0,7.0,PROC
16,POINT (-121.9995494 39.19548626),310,Colusa,sunsweet dryers,7207 Moon Bend Rd, Colusa,CA,95932,dehydrator,dehydrator,prune date fruit nut,39.19548626,-121.9995494,220.0,7.0,PROC
17,POINT (-122.0446191 38.0062496),152,Contra Costa,Bimbo Bakeries,4020 Nelson Ave, Concord,CA,94520,bakery,bakery,bread,38.0062496,-122.0446191,220.0,7.0,PROC
18,POINT (-118.1580757 33.89691197),115,Los Angeles,FritoLay,8049 Somerset Blvd, Paramount,CA,90723,bakery,distributor,bakery,33.89691197,-118.1580757,220.0,7.0,PROC
19,POINT (-118.385985 34.24848762),124,Los Angeles,Bimbo Bakeries,9822 Glenoaks Blvd, Sun Valley,CA,91352,bakery,bakery,bread,34.24848762,-118.385985,220.0,7.0,PROC
20,POINT (-117.8376587 34.01112495),444,Los Angeles,Golden State Foods,21489 Baker Pkwy, City of Industry,CA,91789,misc,distribution,meat dairy vegetables,34.01112495,-117.8376587,220.0,7.0,PROC
21,POINT (-120.310643 37.03166678),48,Madera,"Zinke Orchards, Inc.",19424 Rd 13,Chowchilla,CA,93610,almond,shelling,almond,37.03166678,-120.310643,220.0,7.0,PROC
22,POINT (-120.1064053 36.99212331),65,Madera,The Almond Company,2900 Airport Dr.,Madera,CA,93637,almond,shelling,almond,36.99212331,-120.1064053,220.0,7.0,PROC
23,POINT (-120.0318796 36.92361525),297,Madera,sunsweet dryers,28390 Ave 12, Madera,CA,93637,dehydrator,dehydrator,prune date fruit nut,36.92361525,-120.0318796,220.0,7.0,PROC
24,POINT (-120.5146852 37.31640658),407,Merced,white oaks frozen foods,2525 Cooper Ave, Merced,CA,95348,freshfrozen,frozen,vegetables,37.31640658,-120.5146852,220.0,7.0,PROC
25,POINT (-117.8981572 33.86742858),112,Orange,Bimbo Bakeries,366 S Acacia Ave, Fullerton,CA,92831,bakery,bakery,bread,33.86742858,-117.8981572,220.0,7.0,PROC
26,POINT (-117.2348496 33.8461001),649,Riverside,General Mills,4120 Indian Ave, Perris,CA,92571,warehouse,warehouse,bread,33.8461001,-117.2348496,220.0,7.0,PROC
27,POINT (-117.2566784 34.12123185),500,San Bernardino,Nagle Veal and Quality Meats Inc,1411 E Baseline St, San Bernardino,CA,92410,redmeat,distribution,meat,34.12123185,-117.2566784,220.0,7.0,PROC
28,POINT (-121.203236 37.971031),660,San Joaquin,General Mills,4718 Newcastle Rd, Stockton,CA,95215,warehouse,warehouse,bread,37.971031,-121.203236,220.0,7.0,PROC
